Id,Source,Nucleotide Accession,Start,Stop,Strand,Protein,Protein Name,Organism,Strain,Assembly,len
538995696,INSDC,JAAWLJ010000181.1,1605,2354,+,MCI9128682.1,hypothetical protein,Eubacterium sp.,,GCA_022797855.1,750
467258987,RefSeq,NC_073476.1,1086,1874,+,YP_010755973.1,hypothetical protein,Curtobacterium phage Pize,,GCF_023898905.1,789
20388397,RefSeq,NC_015250.1,73345,74136,-,YP_004300732.1,DNA end protector,Acinetobacter phage 133,Acj133,GCF_000891695.1,792
455719346,RefSeq,NZ_JAGGQV010000015.1,1538,2311,+,WP_214773340.1,hypothetical protein,Bacillus sp. ISL-57,ISL-57,GCF_018613135.1,774
445103569,INSDC,JAFZOY010000103.1,14343,15131,-,MBR5434462.1,hypothetical protein,Bacteroidales bacterium,,GCA_017552705.1,789
466566945,INSDC,BK027990.1,13259,14047,-,DAX13020.1,hypothetical protein,Caudoviricetes sp.,,,789
463685613,INSDC,BK051681.1,2012,2764,+,DAM30808.1,hypothetical protein,Caudoviricetes sp.,,,753
442428701,INSDC,JAFWJA010000022.1,1012,1764,+,MBR3117556.1,hypothetical protein,Bacilli bacterium,,GCA_017511805.1,753
465553253,INSDC,BK054670.1,3114,3866,-,DAU73763.1,terminal protein,Caudoviricetes sp.,,,753
466564129,INSDC,BK027565.1,2626,3384,-,DAX09221.1,terminal protein,Caudoviricetes sp.,,,759
657149028,INSDC,OR050627.1,123439,124197,+,WIC41411.1,hypothetical protein,Chryseobacterium phage MA9V-1,,GCA_030221975.1,759
463653659,INSDC,BK021570.1,13313,14065,-,DAL90500.1,hypothetical protein,Caudoviricetes sp.,,,753
749871324,INSDC,DATIJN010000085.1,3500,4285,+,HSW76036.1,hypothetical protein,Candidatus Saccharimonadales bacterium,,GCA_035478615.1,786
458927829,INSDC,DVIU01000089.1,1609,2358,-,HIS35831.1,hypothetical protein,Candidatus Scatousia excrementigallinarum,,GCA_018711035.1,750
423609514,INSDC,JAGBVS010000120.1,1627,2412,-,MBO5810611.1,hypothetical protein,Bacteroidales bacterium,,GCA_017630195.1,786
424974022,INSDC,JAGCOX010000050.1,5363,6148,-,MBO7044288.1,hypothetical protein,bacterium,,GCA_017642495.1,786
764418106,INSDC,DASQGU010000135.1,699,1601,-,HYM34099.1,hypothetical protein,Steroidobacteraceae bacterium,,GCA_035632475.1,903
803009390,INSDC,DATDDG010000783.1,1850,2752,-,HEY6021524.1,hypothetical protein,Candidatus Paceibacterota bacterium,,GCA_036523955.1,903
587386384,INSDC,JAAXKO010000157.1,2589,3488,+,MCU7526581.1,hypothetical protein,Ignavibacteria bacterium,,GCA_025612315.1,900
466625075,INSDC,BK040195.1,1967,2848,+,DAX77705.1,hypothetical protein,Caudoviricetes sp.,,,882
465662032,INSDC,BK045800.1,13461,14336,-,DAT25921.1,hypothetical protein,Caudoviricetes sp.,,,876
429189856,INSDC,JAGCYM010000072.1,6354,7310,-,MBP5362725.1,hypothetical protein,Ruminococcus sp.,,GCA_017960805.1,957
214582494,RefSeq,NZ_RCTG01000096.1,101,1051,-,WP_121678386.1,glycosyl hydrolase family 28-related protein,Geobacillus stearothermophilus,FHS-PHGT51,GCF_003667605.1,951
465687228,INSDC,BK046423.1,10049,11002,-,DAT57027.1,terminal protein,Caudoviricetes sp.,,,954
465575539,INSDC,BK055226.1,15185,16159,-,DAV00907.1,hypothetical protein,Caudoviricetes sp.,,,975
631676486,INSDC,JAGWLI010000132.1,1289,2215,-,MDE2101029.1,hypothetical protein,Patescibacteria group bacterium,,GCA_028872085.1,927
662840478,RefSeq,NZ_CALBFO010000045.1,5301,6227,-,WP_288920399.1,hypothetical protein,uncultured Bifidobacterium sp.,,GCF_937894235.1,927
682051125,RefSeq,NZ_CAQNSG010000079.1,11281,12201,-,WP_305113892.1,hypothetical protein,Thomasclavelia cocleata,,GCF_948843765.1,921
423702601,INSDC,JAGBYG010000070.1,6053,6997,-,MBO5715289.1,hypothetical protein,Clostridia bacterium,,GCA_017628875.1,945
866493538,INSDC,PP870179.1,749,1681,+,XCI67314.1,hypothetical protein,uncultured phage,,,933
434294145,INSDC,JAFPAN010000129.1,5695,6510,+,MBQ2408785.1,hypothetical protein,Bacilli bacterium,,GCA_017390755.1,816
463565158,INSDC,BK032006.1,12594,13409,-,DAL41398.1,terminal protein,Caudoviricetes sp.,,,816
463549660,INSDC,BK031586.1,15630,16445,-,DAL21706.1,hypothetical protein,Caudoviricetes sp.,,,816
463651664,INSDC,BK021513.1,13021,13842,-,DAL87764.1,terminal protein,Caudoviricetes sp.,,,822
424485402,INSDC,JAGCCP010000051.1,11724,12545,-,MBO7611750.1,hypothetical protein,Candidatus Ruminimicrobiellum bubulum,,GCA_017651625.1,822
556412920,INSDC,JAMPEO010000192.1,1549,2367,-,MCM1266094.1,hypothetical protein,Candidatus Gastranaerophilales bacterium,,GCA_023665105.1,819
597335367,INSDC,JAPKXG010000031.1,5310,6110,-,MCX4254707.1,hypothetical protein,Bacilli bacterium,,GCA_026338125.1,801
438753645,INSDC,JAFTXS010000183.1,1464,2264,+,MBQ8168678.1,hypothetical protein,bacterium,,GCA_017464945.1,801
217136172,RefSeq,NC_048740.1,1964,2767,+,YP_009842182.1,hypothetical protein,Arthrobacter phage Mendel,,GCF_003722715.1,804
759698889,INSDC,DATMTI010000622.1,1270,2070,+,HWV46318.1,hypothetical protein,Nitrospira sp.,,GCA_035564895.1,801
465208895,INSDC,BK057936.1,8805,9602,+,DAQ53464.1,DNA terminal protein,Caudoviricetes sp.,,,798
466498777,INSDC,BK029096.1,1024,1821,+,DAV80483.1,hypothetical protein,Caudoviricetes sp.,,,798
433207077,INSDC,JAFONJ010000206.1,12453,13250,-,MBQ1551692.1,hypothetical protein,Bacilli bacterium,,GCA_017418525.1,798
463514104,INSDC,BK035736.1,36836,37633,+,DAK22045.1,DNA end protector protein,Caudoviricetes sp.,,,798
747850737,INSDC,DATHXT010000187.1,1465,2274,-,HSH24519.1,hypothetical protein,Massilibacterium sp.,,GCA_035459545.1,810
442067416,INSDC,JAFVSF010000121.1,2279,3088,+,MBR2384731.1,hypothetical protein,Clostridia bacterium,,GCA_017503885.1,810
537662731,INSDC,JALFMP010000046.1,2437,3246,+,MCI7039835.1,hypothetical protein,Mollicutes bacterium,,GCA_022782935.1,810
463765905,INSDC,BK038692.1,48710,49519,+,DAJ28914.1,DNA end protector protein,Caudoviricetes sp.,,,810
462396744,INSDC,BK018336.1,13373,14182,-,DAG58646.1,hypothetical protein,Caudoviricetes sp.,,,810
789913278,INSDC,JAXJTP010000076.1,5345,6151,+,MEE1125344.1,hypothetical protein,Acutalibacteraceae bacterium,,GCA_036309525.1,807
462634769,INSDC,BK017257.1,12664,13467,-,DAF79701.1,hypothetical protein,Caudoviricetes sp.,,,804
549470718,INSDC,JALNZL010000085.1,6904,7707,-,MCK9416602.1,hypothetical protein,Candidatus Dojkabacteria bacterium,,GCA_023229315.1,804
442428197,INSDC,JAFWJA010000010.1,4400,5206,+,MBR3116521.1,hypothetical protein,Bacilli bacterium,,GCA_017511805.1,807
270938043,RefSeq,NZ_RSBD01000006.1,11282,12091,-,WP_149168603.1,hypothetical protein,Bacillus licheniformis,F34,GCF_008368415.1,810
465034050,INSDC,BK053918.1,2217,3023,-,DAQ18774.1,terminal protein,Caudoviricetes sp.,,,807
462389312,INSDC,BK018185.1,3495,4340,+,DAG50469.1,hypothetical protein,Caudoviricetes sp.,,,846
463700108,INSDC,BK052025.1,1757,2602,+,DAM47517.1,hypothetical protein,Caudoviricetes sp.,,,846
433822251,INSDC,JAFPFX010000006.1,3912,4757,-,MBQ2167681.1,hypothetical protein,Prevotella sp.,,GCA_017423145.1,846
462539205,INSDC,BK020549.1,1812,2654,+,DAI88537.1,hypothetical protein,Caudoviricetes sp.,,,843
463505179,INSDC,BK035515.1,15472,16314,-,DAK11991.1,hypothetical protein,Caudoviricetes sp.,,,843
423545373,INSDC,JAGBUI010000333.1,5634,6476,-,MBO5872429.1,hypothetical protein,Bacteroidaceae bacterium,,GCA_017630875.1,843
464979154,INSDC,BK043980.1,1283,2143,+,DAP08921.1,hypothetical protein,Caudoviricetes sp.,,,861
443715353,INSDC,JAFYIP010000093.1,8918,9778,-,MBR4431869.1,hypothetical protein,Paludibacteraceae bacterium,,GCA_017538585.1,861
462504401,INSDC,BK024652.1,10800,11651,-,DAI02652.1,hypothetical protein,Caudoviricetes sp.,,,852
577157939,INSDC,OP074244.1,1279,2133,+,UWF90106.1,DNA terminal protein,Bacteriophage sp.,,,855
538031133,INSDC,JALFXO010000092.1,12113,12943,-,MCI7633214.1,hypothetical protein,Mollicutes bacterium,,GCA_022787065.1,831
577172118,INSDC,OP074819.1,1237,2061,+,UWG09006.1,DNA terminal protein,Bacteriophage sp.,,GCA_029972345.1,825
467259030,RefSeq,NC_073477.1,1083,1922,+,YP_010755995.1,hypothetical protein,Curtobacterium phage Reje,,GCF_023898915.1,840
462394292,INSDC,BK018285.1,2262,3095,+,DAG56056.1,hypothetical protein,Caudoviricetes sp.,,,834
465218155,INSDC,BK058170.1,12033,12866,-,DAQ64750.1,hypothetical protein,Caudoviricetes sp.,,,834
463605501,INSDC,BK047707.1,11780,12616,-,DAK74289.1,hypothetical protein,Caudoviricetes sp.,,,837
465563700,INSDC,BK054917.1,12308,13145,-,DAU86428.1,hypothetical protein,Caudoviricetes sp.,,,838
511109088,INSDC,LC663051.1,1454,1990,+,BDD46618.1,hypothetical protein 3,bacterium,,,537
93203381,RefSeq,NC_028787.1,3320,3850,-,YP_009197882.1,hypothetical protein,Acidianus bottle-shaped virus 3 strain ABV3,ABV3,GCF_001501475.1,531
295334853,INSDC,RGWU01000230.1,848,1378,+,NDB59776.1,hypothetical protein,bacterium,,GCA_010026765.1,531
321618107,INSDC,LR797022.1,23522,24052,+,CAB4181175.1,hypothetical protein,uncultured Caudovirales phage,,GCA_902991775.1,531
547315557,INSDC,JAGLQU010000910.1,1849,2400,+,MCK5020963.1,hypothetical protein,Candidatus Peribacteraceae bacterium,,GCA_023136675.1,552
295333966,INSDC,RGWU01000192.1,134,688,-,NDB59520.1,hypothetical protein,bacterium,,GCA_010026765.1,555
151288513,INSDC,NHBN01000015.1,7604,8158,-,OUT52765.1,hypothetical protein,Rhodospirillaceae bacterium TMED8,,GCA_002167875.1,555
522867139,INSDC,JAKMAF010000021.1,5587,6129,-,MCG2868982.1,hypothetical protein,Candidatus Nanopusillus sp.,,GCA_022014835.1,543
207230928,INSDC,DORY01000205.1,854,1402,+,HBY67505.1,hypothetical protein,Flavobacteriaceae bacterium,,GCA_003514105.1,549
424973905,INSDC,JAGCOX010000063.1,21878,22423,-,MBO7044679.1,hypothetical protein,bacterium,,GCA_017642495.1,546
206769879,INSDC,DOEL01000056.1,1,501,+,HBO18537.1,hypothetical protein,Methylophilaceae bacterium,,GCA_003533095.1,501
295337574,INSDC,RGWU01000882.1,708,1211,-,NDB61892.1,hypothetical protein,bacterium,,GCA_010026765.1,504
465609845,INSDC,BK050583.1,27105,27620,+,DAU13338.1,DNA end protector protein,Caudoviricetes sp.,,,516
714683555,INSDC,JAWSTK010000072.1,6255,6770,-,MDW7641338.1,hypothetical protein,Nitrosarchaeum sp.,,GCA_033548855.1,516
664680412,INSDC,OR003938.1,28719,29243,-,WJZ47887.1,DNA end protector,Synechococcus phage DSL-LC03,,GCA_030463415.1,525
818647821,INSDC,PP212902.1,2139,2663,+,WWT40381.1,hypothetical protein,Staphylococcus phage PT1-9,,GCA_037113745.1,525
33568090,RefSeq,NC_020484.1,18392,18916,-,YP_007517891.1,DNA end protector protein,Pelagibacter phage HTVC008M,,GCF_000905255.1,525
745667634,INSDC,DAOROP010000326.1,314,892,-,HRC96190.1,hypothetical protein,Coprothermobacter proteolyticus,,GCA_035441485.1,579
355737857,INSDC,JACNJA010000491.1,9525,10103,+,MBC8398428.1,hypothetical protein,Flavobacteriales bacterium,,GCA_014382825.1,579
283359834,INSDC,MN695334.1,3091,3669,-,QGT54262.1,hypothetical protein,Synechococcus phage B3,,GCA_009745215.1,579
166283033,INSDC,PAUJ01000027.1,9140,9721,+,MBD45126.1,hypothetical protein,Flavobacteriaceae bacterium,,GCA_002713705.1,582
293694990,INSDC,RGCK01000737.1,656,1231,-,NBP58505.1,hypothetical protein,Candidatus Elulimicrobium humile,,GCA_009919195.1,576
615773458,INSDC,JAOGPQ010000008.1,5190,5765,-,MDA8940819.1,hypothetical protein,bacterium,,GCA_028105605.1,576
345345479,INSDC,MT773557.1,137432,138010,+,QMP83949.1,hypothetical protein,Caudoviricetes sp.,,GCA_024384495.1,579
554601530,INSDC,MW805361.1,125330,125914,-,URC15339.1,DNA end protector protein,Paraglaciecola Antarctic GD virus 1,,GCA_023604165.1,585
528567955,INSDC,JAKUQG010000222.1,1047,1634,-,MCH2508331.1,hypothetical protein,Dehalococcoidia bacterium,,GCA_022450315.1,588
205338424,INSDC,JAOFBJ010000039.1,1280,1867,+,MDA7536982.1,hypothetical protein,bacterium,,GCA_028032145.1,588
293204248,INSDC,RFSS01000223.1,2171,2758,+,NBU97633.1,hypothetical protein,Spirochaetia bacterium,,GCA_009923845.1,588
355667911,INSDC,JACNGN010000036.1,912,1499,+,MBC8474914.1,hypothetical protein,Bacteroidota bacterium,,GCA_014384105.1,588
465595513,INSDC,BK055734.1,29318,29905,-,DAV25782.1,DNA end protector protein,Caudoviricetes sp.,,,588
208746010,INSDC,DPNL01000160.1,4325,4912,+,HCV50592.1,hypothetical protein,Saprospirales bacterium,,GCA_003538375.1,588
179123710,INSDC,NZAB01000076.1,9528,10115,+,MAE55516.1,hypothetical protein,Porticoccaceae bacterium,,GCA_002687375.1,588
424972908,INSDC,JAGCOX010000010.1,40418,41002,+,MBO7043160.1,hypothetical protein,bacterium,,GCA_017642495.1,585
865344339,INSDC,JBEVXW010000014.1,20821,21405,-,MES9855951.1,hypothetical protein,Sedimenticola sp.,,GCA_040505975.1,585
295334867,INSDC,RGWU01000236.1,3321,3905,+,NDB59819.1,hypothetical protein,bacterium,,GCA_010026765.1,585
151384945,INSDC,NHDS01000015.1,6035,6622,-,OUU52324.1,hypothetical protein,Pelagibacteraceae bacterium TMED65,,GCA_002167215.1,588
151289222,INSDC,NHBR02000105.1,44608,45195,+,RPG31804.1,hypothetical protein,Allomuricauda sp. TMED12,,GCA_002167435.2,588
564565000,INSDC,ON615601.1,6334,6921,+,UTS51954.1,hypothetical protein,Synechococcus phage BUCT-ZZ01,,GCA_024426065.1,588
295150711,INSDC,RGPI01000353.1,1366,1926,+,NDA78563.1,hypothetical protein,Actinomycetota bacterium,,GCA_010026155.1,561
526347224,INSDC,JAEPCM010000016.1,58704,59264,+,MCG7944862.1,hypothetical protein,Candidatus Thiodiazotropha taylori,,GCA_016842685.1,561
151586758,INSDC,NZEU01000015.1,42940,43494,+,MAH72828.1,hypothetical protein,Porticoccaceae bacterium,,GCA_002689135.1,555
462579930,INSDC,BK018993.1,15361,15918,+,DAH33774.1,DNA end protector protein,Caudoviricetes sp.,,,558
809519023,INSDC,JAVXLF010000001.1,100166,100723,+,MEG1299209.1,hypothetical protein,Erysipelotrichaceae bacterium,,GCA_036646975.1,558
661192501,RefSeq,NZ_NYTA01000017.1,30980,31543,+,WP_286930340.1,hypothetical protein,Marinobacter sp.,,GCF_002683435.1,564
293044355,INSDC,RFPU01000308.1,982,1554,-,NBW58461.1,hypothetical protein,bacterium,,GCA_009926025.1,573
333390305,INSDC,LR798294.1,76268,76837,-,CAB5221867.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_903232575.1,570
293726926,INSDC,RGDD01000025.1,24337,24909,-,NBO99968.1,hypothetical protein,Pseudomonadota bacterium,,GCA_009918765.1,573
165153468,INSDC,NYWG01000260.1,3362,3934,-,MAD26109.1,hypothetical protein,Verrucomicrobiales bacterium,,GCA_002684915.1,573
439538996,INSDC,JAFUBD010000185.1,317,889,+,MBQ8998883.1,hypothetical protein,Clostridium sp.,,GCA_017460415.1,573
376057121,INSDC,DQPR01000081.1,1169,1735,-,HIN39084.1,hypothetical protein,Flavobacteriales bacterium,,GCA_015664755.1,567
321599982,INSDC,LR796734.1,63817,64383,-,CAB4162756.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902988895.1,567
295403653,INSDC,RHBQ01000476.1,1,394,-,NDB84524.1,hypothetical protein,Alphaproteobacteria bacterium,,GCA_010028605.1,394
559192834,INSDC,ON304002.1,271,672,-,USL85445.1,pTP protein,Blackbird siadenovirus,,,402
832456241,INSDC,JAYNMW010000151.1,1403,1784,+,MEK9888327.1,hypothetical protein,Gammaproteobacteria bacterium,,GCA_038112415.1,382
491315649,INSDC,CP070695.1,347148,347531,+,UCG02729.1,hypothetical protein,Candidatus Heimdallarchaeota archaeon,,GCA_020353515.1,384
179146866,INSDC,NZAU01000107.1,512,895,-,MAG49323.1,hypothetical protein,Candidatus Woesearchaeota archaeon,,GCA_002686215.1,384
327832010,INSDC,JABSRW010000714.1,2094,2483,+,NRA94060.1,hypothetical protein,Psychroserpens sp.,,GCA_013214685.1,390
239776313,INSDC,MK016663.1,64769,65158,-,QBP05953.1,hypothetical protein,Synechococcus phage S-H68,,GCA_004521535.1,390
201824864,RefSeq,NC_048049.1,36363,36752,+,YP_009810805.1,hypothetical protein,Synechococcus phage S-T4,,GCF_003443335.1,390
458084948,INSDC,JABHQE010000318.1,428,829,+,MBT6809358.1,hypothetical protein,Flavobacteriales bacterium,,GCA_018670485.1,402
167222712,INSDC,PBLU01000011.1,3058,3471,-,MBL40105.1,hypothetical protein,Chloroflexota bacterium,,GCA_002721875.1,414
294691682,INSDC,JAACRV010000003.1,29200,29616,+,NCP97707.1,hypothetical protein,archaeon,,GCA_009994275.1,417
179123049,INSDC,NZAB01000135.1,1,412,-,MAE56250.1,hypothetical protein,Porticoccaceae bacterium,,GCA_002687375.1,412
293202939,INSDC,RFSS01001037.1,318,728,+,NBU99486.1,hypothetical protein,Spirochaetia bacterium,,GCA_009923845.1,411
491905182,INSDC,JADBYP010000112.1,115,414,+,MCA6385861.1,hypothetical protein,Cytophagales bacterium,,GCA_020402905.1,300
23192787,RefSeq,NC_015569.1,70220,70561,+,YP_004508499.1,hypothetical cyanophage protein,Synechococcus phage S-CRM01,,GCF_000892775.1,342
449954166,INSDC,BOZZ01000004.1,23987,24154,+,GIS09147.1,hypothetical protein,Pseudomonadota bacterium,,GCA_019652295.1,168
450041974,INSDC,LC629459.1,54934,55188,+,BCU94434.1,hypothetical protein,uncultured marine virus,,GCA_018443455.1,255
508799217,INSDC,OL656105.1,1086,1376,-,UGC97972.1,hypothetical protein,Rhodococcus phage P19,,GCA_021216605.1,291
450046730,INSDC,LC629474.1,153692,153976,-,BCU98190.1,hypothetical protein,uncultured marine virus,,GCA_018438135.1,285
450046714,INSDC,LC629474.1,153478,153744,-,BCU98189.1,hypothetical protein,uncultured marine virus,,GCA_018438135.1,267
119618090,RefSeq,NC_031927.1,943,1311,-,YP_009322935.1,hypothetical protein,Synechococcus phage S-CAM7,,GCF_001882035.1,369
293521442,INSDC,RFYX01000195.1,115,489,+,NBR37684.1,hypothetical protein,Chitinophagales bacterium,,GCA_009921005.1,375
758657946,INSDC,DATMJF010000568.1,3679,4058,+,HWI49890.1,hypothetical protein,Rummeliibacillus sp.,,GCA_035554455.1,380
832457323,INSDC,JAYNMV010000157.1,1115,1462,+,MEK9912961.1,hypothetical protein,Flavobacteriaceae bacterium,,GCA_038112435.1,348
274579549,RefSeq,NC_070962.1,159832,160179,-,YP_010669901.1,terminal DNA protecting protein,Synechococcus phage S-SCSM1,,GCF_014190395.1,348
450040777,INSDC,LC629455.1,57947,58291,+,BCU93142.1,hypothetical protein,uncultured marine virus,,GCA_018443575.1,345
832330777,INSDC,JAYNJB010000053.1,5116,5463,-,MEK9694978.1,hypothetical protein,Candidatus Poseidoniales archaeon,,GCA_038109665.1,348
179147160,INSDC,NZAU01000044.1,2533,2880,-,MAG48589.1,hypothetical protein,Candidatus Woesearchaeota archaeon,,GCA_002686215.1,348
450044608,INSDC,LC629467.1,41264,41740,-,BCU96660.1,hypothetical protein,uncultured marine virus,,GCA_018443295.1,477
602038619,INSDC,JAPNUL010000601.1,827,1303,+,MCY0881657.1,hypothetical protein,Bacillota bacterium,,GCA_026627085.1,477
166700651,INSDC,PAZU01000056.1,18038,18517,-,MBG46604.1,hypothetical protein,Methanobacteriota archaeon,,GCA_002715725.1,480
294075324,INSDC,RFVH01001085.1,761,1229,+,NCA22666.1,hypothetical protein,Crocinitomicaceae bacterium,,GCA_009928155.1,469
355706104,INSDC,JACNHO010000020.1,6788,7261,-,MBC8442731.1,hypothetical protein,Pseudomonadota bacterium,,GCA_014383535.1,474
450045351,INSDC,LC629469.1,69646,70119,+,BCU97183.1,hypothetical protein,uncultured marine virus,,GCA_018443235.1,474
110822181,RefSeq,NC_031008.1,1852,2334,+,YP_009278559.1,hypothetical protein,Staphylococcus phage SLPW,,GCF_001746055.1,483
321605611,INSDC,LR796860.1,133985,134479,+,CAB4170914.1,DNA end protector protein,uncultured Caudovirales phage,,GCA_902990075.1,495
295405636,INSDC,RHBQ01001720.1,103,600,+,NDB87224.1,hypothetical protein,Alphaproteobacteria bacterium,,GCA_010028605.1,498
714683045,INSDC,JAWSTK010000114.1,104,601,-,MDW7641723.1,hypothetical protein,Nitrosarchaeum sp.,,GCA_033548855.1,498
457453188,INSDC,JABJNM010000076.1,1228,1716,+,MBT4950851.1,hypothetical protein,Pelagibacteraceae bacterium,,GCA_018664835.1,489
450042537,INSDC,LC629461.1,34825,35310,-,BCU94968.1,hypothetical protein,uncultured marine virus,,GCA_018443435.1,486
450047385,INSDC,LC629477.1,31540,32022,+,BCU98664.1,hypothetical protein,Eurybiavirus sp.,,GCA_018448635.1,483
28026508,INSDC,HQ633061.1,125850,126338,+,AFK66388.1,hypothetical protein,Synechococcus phage S-CBM2,S-CBM2,GCA_010974635.1,489
664681557,INSDC,OR032571.1,67847,68338,+,WJZ48272.1,terminal DNA protecting protein,Synechococcus phage DSL-LC02,,GCA_030463335.1,492
294691947,INSDC,JAACRV010000003.1,85553,85990,-,NCP97778.1,hypothetical protein,archaeon,,GCA_009994275.1,438
208563142,INSDC,DPIT01000287.1,4417,4838,-,HCT53477.1,hypothetical protein,Balneola sp.,,GCA_003543395.1,422
791212850,INSDC,JAYYYC010000191.1,1126,1589,-,MEE3020095.1,hypothetical protein,Bacteroidota bacterium,,GCA_036340655.1,464
203471054,INSDC,DMHR01001101.1,1625,2091,+,HAI43122.1,hypothetical protein,Maribacter sp.,,GCA_003450275.1,467
719863082,INSDC,JAVEZW010000012.1,22176,22640,-,MDX9694602.1,hypothetical protein,Bacteroidales bacterium,,GCA_034002805.1,465
295334691,INSDC,RGWU01000031.1,3307,3771,+,NDB57766.1,hypothetical protein,bacterium,,GCA_010026765.1,465
405680701,INSDC,VGTM01000170.1,999,1688,-,MBM4242102.1,hypothetical protein,Methanobacteriota archaeon,,GCA_016874685.1,690
46261641,RefSeq,NC_023587.1,1960,2649,-,YP_009008137.1,hypothetical protein,Synechococcus phage ACG-2014h,,GCF_000918375.1,690
147970523,RefSeq,NC_048660.1,68353,69042,-,YP_009833064.1,DNA end protector,Aeromonas phage phiA8-29,,GCF_002622325.1,690
